"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"22",0.00785417901600474,0,0,0,0,0,0,0.0841730883224659,0.002963841138115,0,0,0.126852400711322,0,0.0866923532898637,0,0,0.00370480142264375,0.028452874925904,0,0,0,0.0002963841138115,0,0,0,0,0,0.0480142264374629,0.111440426793124,0.0182276229994072,0,0,0,0,0.000444576170717249,0,0.390930646117368,0,0.00740960284528749,0,0.0659454653230587,0,0,0.000889152341434499,0,0.00666864256075874,0.0038529934795495,0.00518672199170124,0,0
"23",0,0,0,0,0,0.00174384809145514,0.00484402247626429,0.000193760899050572,0,0.000387521798101143,0,0.0333268746366983,0.229800426273978,0.149777174966092,0,0.00794419686107344,0,0.0215074597946134,0,0,0,0.0251889168765743,0.00871924045727572,0,0,0,0,0,0.00794419686107344,0,0.00368145708196086,0,0,0,0.0404960279015695,0.000193760899050572,0,0.00620034876961829,0,0,0.052896725440806,0,0,0.257314473939159,0,0,0.0866111218756055,0.0335206355357489,0.000193760899050572,0.0275140476651812
"24",0,0.424654023577652,0,0,0,0.0061506919528447,0,0.0117888262429523,0,0,0,0.0317785750896976,0,0.152998462327012,0,0,0,0.0476678626345464,0,0,0,0.00281906714505382,0,0.0215274218349564,0,0,0,0,0.017939518195797,0,0.000256278831368529,0.000256278831368529,0,0,0.00333162480779088,0,0,0.00281906714505382,0.0438236801640184,0,0.158380317785751,0,0,0.0133264992311635,0.000768836494105587,0,0.0558687852383393,0,0.00102511532547412,0.00281906714505382
"25",0.0198581560283688,0.116312056737589,0,0,0,0.0170212765957447,0.00567375886524823,0,0,0,0,0.0780141843971631,0.00141843971631206,0.164539007092199,0,0.00141843971631206,0,0.147517730496454,0,0,0,0.0695035460992908,0.00141843971631206,0,0,0,0,0,0.134751773049645,0.00141843971631206,0.00141843971631206,0.0099290780141844,0,0,0.0156028368794326,0,0,0,0,0,0.0723404255319149,0,0.00567375886524823,0.0354609929078014,0,0.0382978723404255,0.00851063829787234,0.0113475177304965,0,0.0425531914893617
"26",0,0,0,0,0,0.000590318772136954,0,0,0,0,0,0.0147579693034238,0,0.12987012987013,0,0,0,0.00590318772136954,0,0,0.00649350649350649,0.0755608028335301,0,0,0,0,0,0,0,0,0.193624557260921,0,0,0,0.00944510035419126,0.00472255017709563,0,0,0,0,0.103305785123967,0,0,0.0608028335301063,0,0,0.0371900826446281,0.000590318772136954,0.0135773317591499,0.343565525383707
"27",0,0,0,0,0,0,0,0,0,0,0,0.0862343572241183,0,0.0973833902161547,0,0,0,0.0275312855517634,0,0,0,0.0129692832764505,0,0,0,0,0.563139931740614,0.00978384527872582,0.0236632536973834,0.0025028441410694,0,0.00068259385665529,0,0,0,0,0,0.000227531285551763,0.00113765642775882,0,0.146075085324232,0,0,0.00364050056882821,0,0,0.0129692832764505,0.0120591581342435,0,0
"28",0,0.000995891945723889,0,0,0,0,0,0.00124486493215486,0.000995891945723889,0,0,0.0234034607245114,0,0.187352172289307,0,0,0,0.00522843271505042,0.000124486493215486,0,0.0286318934395618,0.0260176770820366,0,0,0,0,0,0.00933648699116146,0.0260176770820366,0,0.00622432466077431,0,0,0,0.0202912983941242,0.0044815137557575,0.000622432466077431,0,0.000373459479646458,0,0.0728245985310594,0,0.000248972986430972,0.00883854101829951,0,0.0072202166064982,0.062741192580605,0.00883854101829951,0.484999377567534,0.0129465952944106
"29",0,0.00059206631142688,0.367673179396092,0,0,0.0319715808170515,0,0,0.0384843102427472,0,0,0.0112492599171107,0,0.127294256956779,0,0.00177619893428064,0,0.0580224985198342,0,0,0,0,0,0,0,0.00177619893428064,0,0,0.024866785079929,0,0,0.00414446417998816,0,0,0.0183540556542333,0.00651272942569568,0,0,0.00118413262285376,0,0.127294256956779,0.034339846062759,0,0.0420367081113085,0.0284191829484902,0,0.07400828892836,0,0,0
"30",0,0,0,0,0,0,0,0,0,0.0312891113892365,0,0.157697121401752,0,0.13892365456821,0,0,0.0187734668335419,0.0951188986232791,0,0,0,0.0150187734668335,0,0,0,0.148936170212766,0,0,0.120150187734668,0,0,0.0175219023779725,0.0300375469336671,0,0.0187734668335419,0,0,0,0,0,0.0362953692115144,0,0.0500625782227785,0.0212765957446809,0.00500625782227785,0,0.00125156445556946,0.0938673341677096,0,0
"31",0.00140646976090014,0,0,0,0,0,0,0,0,0,0,0.189873417721519,0.00562587904360056,0.119549929676512,0,0,0,0.0562587904360056,0,0,0,0,0,0,0,0.0154711673699015,0,0.00140646976090014,0.0478199718706048,0.00562587904360056,0,0.00562587904360056,0,0,0.137834036568214,0,0,0,0,0.0506329113924051,0.0407876230661041,0,0,0.00421940928270042,0,0.258790436005626,0.0407876230661041,0.0168776371308017,0.00140646976090014,0
